DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
623769,Population with water on the premises,36.4,1,BJ,Benin,2012,BJ2012DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2011-12,DHS,86307,87762,NA,NA,NA
623745,Population with water 30 minutes or less away round trip,51.8,1,BJ,Benin,2012,BJ2012DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2011-12,DHS,86307,87762,NA,NA,NA
623770,Population with water more than 30 minutes away round trip,7.5,1,BJ,Benin,2012,BJ2012DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2011-12,DHS,86307,87762,NA,NA,NA
623755,Population with unknown or missing information on round trip time to water,4.4,1,BJ,Benin,2012,BJ2012DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2011-12,DHS,86307,87762,NA,NA,NA
330189,Population with water on the premises,33.7,1,BJ,Benin,2017,BJ2017DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2017-18,DHS,73420,73728,NA,NA,NA
330181,Population with water 30 minutes or less away round trip,52.5,1,BJ,Benin,2017,BJ2017DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2017-18,DHS,73420,73728,NA,NA,NA
330190,Population with water more than 30 minutes away round trip,13.2,1,BJ,Benin,2017,BJ2017DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2017-18,DHS,73420,73728,NA,NA,NA
330155,Population with unknown or missing information on round trip time to water,0.6,1,BJ,Benin,2017,BJ2017DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2017-18,DHS,73420,73728,NA,NA,NA
467937,Population with water on the premises,64,1,BO,Bolivia,1994,BO1994DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,1994,DHS,40926,41519,NA,NA,NA
467861,Population with water 30 minutes or less away round trip,32.3,1,BO,Bolivia,1994,BO1994DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,1994,DHS,40926,41519,NA,NA,NA
467938,Population with water more than 30 minutes away round trip,2.7,1,BO,Bolivia,1994,BO1994DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,1994,DHS,40926,41519,NA,NA,NA
467863,Population with unknown or missing information on round trip time to water,1,1,BO,Bolivia,1994,BO1994DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,1994,DHS,40926,41519,NA,NA,NA
